acc,disp_impact,disp_tpr,disp_tnr,noise,method,seed,dataset
0.8540682414698163,0.18711815729537873,0.11122666970768236,0.07555242351987179,0.0,LR,0,Adult
0.8542782152230971,0.19324813186830633,0.09402972592846015,0.08063774467688012,0.0,RF,0,Adult
0.8534383202099738,0.18271069223081082,0.11864674801383657,0.07061214672085514,0.0,SVM,0,Adult
0.8153280839895013,0.207930817405359,0.021059033717261477,0.09753754420514404,0.0,LR+Adaptive,0,Adult
0.8491338582677166,0.16493443145789166,0.1139375549874958,0.06256934243756374,0.0,LR,1,Adult
0.8534383202099738,0.1759529005931647,0.10831653400392094,0.07242031574293917,0.0,RF,1,Adult
0.8483989501312336,0.15974561722455838,0.11338889235266814,0.05866303493864056,0.0,SVM,1,Adult
0.8135433070866142,0.19918054584020853,0.014800036023304375,0.1001231604186289,0.0,LR+Adaptive,1,Adult
0.8545931758530184,0.17593196953048199,0.07564411949760674,0.06774549360245374,0.0,LR,2,Adult
0.8573228346456693,0.1907600802753202,0.055110346530316434,0.08480717078654221,0.0,RF,2,Adult
0.8536482939632546,0.16939497322429248,0.06326428213031332,0.06440381404354267,0.0,SVM,2,Adult
0.8199475065616798,0.20316917481334404,0.04547503564061517,0.0980078804201604,0.0,LR+Adaptive,2,Adult
0.8459842519685039,0.16871144702697044,0.04087292693859257,0.07999132117197183,0.0,LR,3,Adult
0.8475590551181102,0.1680153892904991,0.02368332586284183,0.07715719195580728,0.0,RF,3,Adult
0.8467191601049868,0.16274246251305013,0.040262214253697914,0.07388410560988179,0.0,SVM,3,Adult
0.8050393700787402,0.1846802804940266,0.05040340654415054,0.09486659618759341,0.0,LR+Adaptive,3,Adult
0.8493438320209974,0.17212786787173293,0.09616680609778772,0.06693807321683087,0.0,LR,4,Adult
0.8498687664041995,0.16738676286222298,0.08241541178657741,0.061966482307739934,0.0,RF,4,Adult
0.8503937007874016,0.16599811231713074,0.09497583193902215,0.06083166790605443,0.0,SVM,4,Adult
0.8067191601049869,0.19436921718363437,0.010579336307863896,0.0936697948296874,0.0,LR+Adaptive,4,Adult
0.8539632545931759,0.18082717965897716,0.1270095411867564,0.06912582417052004,0.05,LR,0,Adult
0.8493438320209974,0.19119974620558697,0.09743414300376319,0.08077208970064398,0.05,RF,0,Adult
0.8501837270341207,0.16713576691241672,0.13559889002926978,0.058635167183130776,0.05,SVM,0,Adult
0.7961154855643044,0.20270345230260675,0.03582924696848755,0.09594857240311871,0.05,LR+Adaptive,0,Adult
0.8488188976377953,0.15770383095861962,0.11842799842051666,0.05611450069158441,0.05,LR,1,Adult
0.8496587926509186,0.1798808786783197,0.10760576649971254,0.07780296306432954,0.05,RF,1,Adult
0.8459842519685039,0.1471747770830374,0.12194996917236461,0.04918369423347524,0.05,SVM,1,Adult
0.7928608923884515,0.18273011823093432,0.0064010640729887935,0.08369942581752299,0.05,LR+Adaptive,1,Adult
0.8525984251968504,0.16987612540550556,0.05891254310722449,0.06720150876468167,0.05,LR,2,Adult
0.8545931758530184,0.18957883491086647,0.06163317643498267,0.08226216896208316,0.05,RF,2,Adult
0.8486089238845145,0.15424584042568104,0.05018039328124624,0.05799653622642986,0.05,SVM,2,Adult
0.8017847769028872,0.20898611880527992,0.04578405371180083,0.10685900112542379,0.05,LR+Adaptive,2,Adult
0.8448293963254593,0.16214314433064475,0.05623599282832803,0.07344717095123121,0.05,LR,3,Adult
0.8437795275590552,0.17587250929186649,0.0320708202599731,0.08581053684796736,0.05,RF,3,Adult
0.8403149606299213,0.15164628163363542,0.0722994173016584,0.06502001922803735,0.05,SVM,3,Adult
0.7856167979002625,0.1889230577211679,0.06436015239802784,0.10399182403918872,0.05,LR+Adaptive,3,Adult
0.8494488188976378,0.1715372221507191,0.13742098903141853,0.06307660578174379,0.05,LR,4,Adult
0.8447244094488189,0.1750927157368875,0.1007099367912252,0.06970563572845012,0.05,RF,4,Adult
0.847979002624672,0.15913395993917467,0.1295315114333519,0.05542314440416429,0.05,SVM,4,Adult
0.7898162729658793,0.19852057026136782,0.01115448968209709,0.09921597428786844,0.05,LR+Adaptive,4,Adult
0.8509186351706036,0.17658071765788322,0.1443114000076025,0.06571764376526457,0.1,LR,0,Adult
0.8396850393700788,0.19481142447968972,0.09649142813699774,0.08769584608404368,0.1,RF,0,Adult
0.8469291338582677,0.1613149976065369,0.1428441099327175,0.055474278156947165,0.1,SVM,0,Adult
0.7826771653543307,0.20457654556987048,0.031202341582088455,0.10025694491371351,0.1,LR+Adaptive,0,Adult
0.8470341207349081,0.16370158742070268,0.15253791106400366,0.06008178990553659,0.1,LR,1,Adult
0.8394750656167979,0.18380587887932692,0.12059078219063257,0.08419682309527976,0.1,RF,1,Adult
0.84251968503937,0.14954383281681932,0.12883042029497543,0.053948436643961095,0.1,SVM,1,Adult
0.7748031496062993,0.18378473590187755,0.00262138814417634,0.08874295333637106,0.1,LR+Adaptive,1,Adult
0.850498687664042,0.1662173576792071,0.07209359743228283,0.06474131034923791,0.1,LR,2,Adult
0.8457742782152231,0.1837332472805303,0.04758400433262444,0.08231540620342248,0.1,RF,2,Adult
0.8443044619422572,0.15245713662345134,0.07137998869057571,0.057690033644955174,0.1,SVM,2,Adult
0.7867716535433071,0.2041096917274125,0.06097213262291035,0.10511770991215286,0.1,LR+Adaptive,2,Adult
0.843989501312336,0.1550835418343171,0.06794598834603316,0.06562514258421326,0.1,LR,3,Adult
0.838005249343832,0.17268407892516643,0.03361721201255041,0.08316587272540765,0.1,RF,3,Adult
0.8390551181102363,0.1419026657982797,0.05491371582250115,0.059270457457077486,0.1,SVM,3,Adult
0.7708136482939633,0.18548395912115367,0.05409569699686245,0.09935599665920136,0.1,LR+Adaptive,3,Adult
0.8483989501312336,0.17202061316325118,0.14730897936419413,0.06371606853297807,0.1,LR,4,Adult
0.8411548556430446,0.18374772381674226,0.12053820412716121,0.07762980972816091,0.1,RF,4,Adult
0.8457742782152231,0.16244991800973396,0.15049846625766872,0.057851811829956024,0.1,SVM,4,Adult
0.7767979002624672,0.19323663725504214,0.016557445621862787,0.09388410562682037,0.1,LR+Adaptive,4,Adult
0.8480839895013124,0.17626972622433773,0.16920819553730948,0.06469895452219832,0.15,LR,0,Adult
0.8307611548556431,0.1875615731284349,0.08383320028889651,0.08572821438569733,0.15,RF,0,Adult
0.8418897637795275,0.16273336265292562,0.1537385486752576,0.05911092554872299,0.15,SVM,0,Adult
0.7666141732283465,0.2097562795660171,0.011560421180674352,0.10739291816698682,0.15,LR+Adaptive,0,Adult
0.843989501312336,0.1578820573248654,0.13722800673358687,0.05947472259385478,0.15,LR,1,Adult
0.8312860892388452,0.1765568154983385,0.12653462740126498,0.07923999637021306,0.15,RF,1,Adult
0.8386351706036745,0.1478197867894508,0.14230036508233407,0.053400652617579425,0.15,SVM,1,Adult
0.7654593175853018,0.17461910628336536,0.01210798678221836,0.08153231036101982,0.15,LR+Adaptive,1,Adult
0.8493438320209974,0.16307173768765393,0.06289792049952614,0.06356093194448742,0.15,LR,2,Adult
0.8382152230971128,0.18356275668813724,0.05944297103353802,0.0836256474948811,0.15,RF,2,Adult
0.8440944881889764,0.15232732609197777,0.057012241257098195,0.05932256060172636,0.15,SVM,2,Adult
0.7765879265091864,0.21509985964617184,0.04324660119943613,0.1169665534373513,0.15,LR+Adaptive,2,Adult
0.8405249343832021,0.15194758037829686,0.07305020170327203,0.06423125549505404,0.15,LR,3,Adult
0.8239370078740158,0.172952584600653,0.01478036754818468,0.09286710034919177,0.15,RF,3,Adult
0.8370603674540682,0.13782017711834782,0.06362617660242043,0.0551255242649612,0.15,SVM,3,Adult
0.7571653543307086,0.19359974687725512,0.036665172568355,0.10938397471555161,0.15,LR+Adaptive,3,Adult
0.8436745406824147,0.167156612133606,0.15220068786019703,0.06238130603065417,0.15,LR,4,Adult
0.8238320209973753,0.18212981633227032,0.09201873024725793,0.08776648450248903,0.15,RF,4,Adult
0.8416797900262467,0.15553154241804548,0.1504461795872839,0.05393192533721669,0.15,SVM,4,Adult
0.7592650918635171,0.19851103650950275,0.012868330544710926,0.10248477876928797,0.15,LR+Adaptive,4,Adult
0.8427296587926509,0.17390528832299607,0.14956627513589538,0.0681743074393355,0.2,LR,0,Adult
0.8146981627296588,0.181873525916482,0.046278176911088376,0.08964682543513314,0.2,RF,0,Adult
0.8416797900262467,0.1661944571681243,0.1508404607138784,0.0622718145749066,0.2,SVM,0,Adult
0.7507611548556431,0.2100523862787484,0.01898049948682856,0.1127871524325299,0.2,LR+Adaptive,0,Adult
0.8417847769028871,0.16135456802961445,0.18186780832831084,0.05798584674243612,0.2,LR,1,Adult
0.8174278215223097,0.1740089378214812,0.09507381313603647,0.085989556112964,0.2,RF,1,Adult
0.838005249343832,0.15364825053773143,0.1721138059313756,0.055211016953402026,0.2,SVM,1,Adult
0.7485564304461942,0.1748975384511846,0.009104197407707626,0.08565981811273393,0.2,LR+Adaptive,1,Adult
0.8467191601049868,0.15614012955456702,0.05636553333492622,0.05956764817821514,0.2,LR,2,Adult
0.8243569553805774,0.19145575502497786,0.08986691515542489,0.0911513162683032,0.2,RF,2,Adult
0.8417847769028871,0.14819258641694288,0.042133180417174454,0.05851770510362775,0.2,SVM,2,Adult
0.7614698162729658,0.22620856347277912,0.026350958513527534,0.12975772066754754,0.2,LR+Adaptive,2,Adult
0.8345406824146981,0.1516479212870942,0.07998095024652624,0.06739795986058217,0.2,LR,3,Adult
0.8175328083989502,0.17184229077674062,0.03422232182877638,0.09166850307043473,0.2,RF,3,Adult
0.832755905511811,0.1412803924674519,0.06765463917525771,0.06074362541375711,0.2,SVM,3,Adult
0.7378477690288714,0.19599046099304174,0.011502689376960973,0.11166540302671701,0.2,LR+Adaptive,3,Adult
0.8413648293963255,0.16952977152363655,0.16725924893102811,0.06506575855693952,0.2,LR,4,Adult
0.8159580052493438,0.1715422869563974,0.10105270496374785,0.07581922238747396,0.2,RF,4,Adult
0.8393700787401575,0.16356566490768945,0.17288878044246148,0.06080568594947433,0.2,SVM,4,Adult
0.7472965879265092,0.20712433442494793,0.0004241029931213447,0.11274934609386289,0.2,LR+Adaptive,4,Adult
0.8398950131233596,0.17249198408168417,0.16292241608697305,0.06785984354838193,0.25,LR,0,Adult
0.7923359580052494,0.1708310477017594,0.038613296841144895,0.086980116936483,0.25,RF,0,Adult
0.839265091863517,0.1672988538368047,0.16527920325388673,0.06353779519704472,0.25,SVM,0,Adult
0.7427821522309711,0.21492946428500548,0.029037138404226948,0.12355462452577004,0.25,LR+Adaptive,0,Adult
0.8377952755905512,0.14986633767002602,0.14921268297413942,0.05485361881187234,0.25,LR,1,Adult
0.7962204724409448,0.16311211525364577,0.10586279277594202,0.079813499475347,0.25,RF,1,Adult
0.8349606299212599,0.14735598133343103,0.15360614058787259,0.05460394964172022,0.25,SVM,1,Adult
0.740262467191601,0.1400626963728478,0.0264494184314622,0.04936138233416332,0.25,LR+Adaptive,1,Adult
0.8409448818897638,0.1543081555751795,0.06820538551597255,0.06148386175588694,0.25,LR,2,Adult
0.8012598425196851,0.16952981162846395,0.03704712525585574,0.08277229785835816,0.25,RF,2,Adult
0.8401049868766404,0.14893853989357975,0.056664994146178316,0.05873997671954245,0.25,SVM,2,Adult
0.7503412073490814,0.21012302747412476,0.035546635446284225,0.11605236123929763,0.25,LR+Adaptive,2,Adult
0.8346456692913385,0.14725429594174838,0.08208762886597942,0.06300555710342015,0.25,LR,3,Adult
0.7932808398950131,0.15833204314136937,0.041763783056925075,0.0826673740461622,0.25,RF,3,Adult
0.8318110236220473,0.14207954962595032,0.08306813088301207,0.0601965065290222,0.25,SVM,3,Adult
0.7190551181102363,0.18310248668849827,0.0284625728372927,0.10384741960191946,0.25,LR+Adaptive,3,Adult
0.8395800524934384,0.1559940783483728,0.14629810373675406,0.05553610943277354,0.25,LR,4,Adult
0.7872965879265091,0.15651888159556873,0.0887304796430563,0.07361132090330702,0.25,RF,4,Adult
0.8375853018372703,0.1500216296995438,0.14130182189998136,0.05225568569126848,0.25,SVM,4,Adult
0.7408923884514436,0.19056957017079723,0.007697759806655435,0.09789170139534409,0.25,LR+Adaptive,4,Adult
0.8410498687664042,0.17752708820725246,0.16309727448967953,0.07102073257456554,0.3,LR,0,Adult
0.7563254593175853,0.15143670302243184,0.022672292545710238,0.08378375117049108,0.3,RF,0,Adult
0.8409448818897638,0.1732770538731631,0.15448967955297072,0.0685264201153919,0.3,SVM,0,Adult
0.7353280839895013,0.21271382397607014,0.017426540464515194,0.12020806584997767,0.3,LR+Adaptive,0,Adult
0.8365354330708662,0.17142338991015427,0.19653206420461233,0.0682518030449124,0.3,LR,1,Adult
0.7596850393700787,0.16477719917488787,0.10163144003158964,0.09390545181385013,0.3,RF,1,Adult
0.8364304461942257,0.16859350660450034,0.19733981752810859,0.06579846174028225,0.3,SVM,1,Adult
0.7294488188976378,0.14334864263573716,0.01643632534585837,0.05440830671246932,0.3,LR+Adaptive,1,Adult
0.8420997375328084,0.15486716360332098,0.035639022292308864,0.06372939387560739,0.3,LR,2,Adult
0.7727034120734908,0.1446200543254027,0.02567080018158785,0.06573932462466925,0.3,RF,2,Adult
